년도,분기,학년,권역,점수
2022,1,1,강남서초,86.8
2022,1,1,강동송파,85.5
2022,1,1,강서양천,84.0
2022,1,1,동작관악,83.1
2022,1,1,서울남부,82.8
2022,1,1,서울동부,84.1
2022,1,1,서울북부,82.9
2022,1,1,서울서부,84.1
2022,1,1,서울중부,85.0
2022,1,1,성동광진,85.6
2022,1,1,성북강북,81.4
2022,1,2,강남서초,79.4
2022,1,2,강동송파,77.4
2022,1,2,강서양천,76.4
2022,1,2,동작관악,74.7
2022,1,2,서울남부,74.3
2022,1,2,서울동부,78.6
2022,1,2,서울북부,76.6
2022,1,2,서울서부,76.9
2022,1,2,서울중부,76.3
2022,1,2,성동광진,78.0
2022,1,2,성북강북,76.7
2022,1,3,강남서초,75.2
2022,1,3,강동송파,73.5
2022,1,3,강서양천,72.8
2022,1,3,동작관악,75.4
2022,1,3,서울남부,74.2
2022,1,3,서울동부,73.7
2022,1,3,서울북부,71.5
2022,1,3,서울서부,73.2
2022,1,3,서울중부,73.5
2022,1,3,성동광진,72.4
2022,1,3,성북강북,74.0
2022,1,4,강남서초,72.0
2022,1,4,강동송파,72.9
2022,1,4,강서양천,70.2
2022,1,4,동작관악,71.2
2022,1,4,서울남부,72.8
2022,1,4,서울동부,72.4
2022,1,4,서울북부,70.5
2022,1,4,서울서부,71.7
2022,1,4,서울중부,72.4
2022,1,4,성동광진,70.8
2022,1,4,성북강북,72.2
2022,1,5,강남서초,76.5
2022,1,5,강동송파,75.7
2022,1,5,강서양천,74.7
2022,1,5,동작관악,75.8
2022,1,5,서울남부,72.4
2022,1,5,서울동부,74.1
2022,1,5,서울북부,75.4
2022,1,5,서울서부,73.4
2022,1,5,서울중부,74.6
2022,1,5,성동광진,73.8
2022,1,5,성북강북,74.1
2022,1,6,강남서초,76.1
2022,1,6,강동송파,77.4
2022,1,6,강서양천,75.4
2022,1,6,동작관악,76.1
2022,1,6,서울남부,76.1
2022,1,6,서울동부,75.2
2022,1,6,서울북부,75.9
2022,1,6,서울서부,75.1
2022,1,6,서울중부,76.1
2022,1,6,성동광진,75.4
2022,1,6,성북강북,74.8
2022,1,7,강남서초,70.4
2022,1,7,강동송파,67.6
2022,1,7,강서양천,66.4
2022,1,7,동작관악,66.6
2022,1,7,서울남부,62.6
2022,1,7,서울동부,63.8
2022,1,7,서울북부,56.8
2022,1,7,서울서부,64.5
2022,1,7,서울중부,64.8
2022,1,7,성동광진,53.2
2022,1,7,성북강북,66.6
2022,1,8,강남서초,69.4
2022,1,8,강동송파,55.0
2022,1,8,강서양천,68.9
2022,1,8,동작관악,64.0
2022,1,8,서울남부,70.4
2022,1,8,서울동부,61.0
2022,1,8,서울북부,72.6
2022,1,8,서울서부,67.3
2022,1,8,성동광진,66.5
2022,1,8,성북강북,66.0
2022,1,9,강남서초,74.0
2022,1,9,강동송파,80.0
2022,1,9,강서양천,73.3
2022,1,9,동작관악,68.0
2022,1,9,서울남부,72.0
2022,1,9,서울동부,66.0
2022,1,9,서울북부,56.8
2022,1,9,서울서부,68.1
2022,1,9,서울중부,72.0
2022,1,9,성북강북,67.0
